"Token", "ShortName", "Series", "CompanyName", "ticksize", "Lotsize", "DateOfListing", "DateOfDeListing", "IssuePrice", "FaceValue", "ISINCode", "52WeeksHigh", "52WeeksLow", "LifeTimeHigh", "LifeTimeLow", "HighDate", "LowDate", "Symbol", "InstrumentType", "PermittedToTrade", "IssueCapital", "WarningPercent", "FreezePercent", "CreditRating", "IssueRate", "IssueStartDate", "InterestPaymentDate", "IssueMaturityDate", "BoardLotQty", "Name", "ListingDate", "ExpulsionDate", "ReAdmissionDate", "RecordDate", "ExpiryDate", "NoDeliveryStartDate", "NoDeliveryEndDate", "MFill", "AON", "ParticipantInMarketIndex", "BookClsStartDate", "BookClsEndDate", "EGM", "AGM", "Interest", "Bonus", "Rights", "Dividends", "LocalUpdateDateTime", "DeleteFlag", "Remarks", "NormalMarketStatus", "OddLotMarketStatus", "SpotMarketStatus", "AuctionMarketStatus", "NormalMarketEligibility", "OddLotlMarketEligibility", "SpotMarketEligibility", "AuctionlMarketEligibility", "MarginPercentage", "ExchangeCode"
"15023","TQG23B","TB","TBILL 91 Day  13JL23",0.01,1,"","",0,100,"IN002023X021",0,0,0,0,"","","",0,0,0,104.92,94.93,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","91D130723"
"15024","THJ23B","TB","TBILL 182 Day 12OT23",0.01,1,"","",0,100,"IN002023Y029",0,0,0,0,"","","",0,0,0,104.87,94.88,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","182D121023"
"15032","PSUBAN","EQ","NIPPON IND ETF NIF PSU BNK BEE",0.01,1,"","",0,10,"INF204KB16I7",61,37,61,9.88,"","","",0,0,0,66.93,44.62,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","PSUBNKBEES"
"15034","BAJELE","EQ","BAJAJ ELECTRICALS LIMITED",0.01,1,"","",0,2,"INE193E01025",1327.7,959.45,1588.95,25.92,"","","",0,0,0,1251.4,834.3,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","BAJAJELEC"
"15035","TYD24B","TB","TBILL 364 Day 11AP24",0.01,1,"","",0,100,"IN002023Z034",0,0,0,0,"","","",0,0,0,101.49,91.82,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","364D110424"
"15036","INFPHA","SM","INFINIUM PHARMACHEM LIMITED",0.01,1,"","",0,10,"INE0MRE01011",0,0,315.7,70.75,"","","",0,0,0,268.4,242.9,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","INFINIUM"
"15039","CERSAN","EQ","CERA SANITARYWARE LIMITED",0.01,1,"","",0,5,"INE739E01017",9740,4963.4,9740,26.73,"","","",0,0,0,10003.5,6669,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","CERA"
"15044","DELCOR","EQ","DELTA CORP LIMITED",0.01,1,"","",0,1,"INE124G01033",259.95,122.6,401.6,16,"","","",0,0,0,154.8,126.7,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","DELTACORP"
"15046","699D26","GS","GSEC 6.99 17AP26",0.01,1,"","",0,100,"IN0020230028",0,0,0,0,"","","",0,0,0,104.73,94.76,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","699GS2026"
"15049","ENEDEV","EQ","ENERGY DEVELOPMENT COMPANY LTD",0.01,1,"","",0,10,"INE306C01019",24.15,13.6,356.3,3.25,"","","",0,0,0,21.6,14.4,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","ENERGYDEV"
"15050","717D30","GS","GSEC 7.17 17AP30",0.01,1,"","",0,100,"IN0020230036",0,0,0,0,"","","",0,0,0,104.92,94.93,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","717GS2030"
"15051","MOSUTI","SM","MOS UTILITY LIMITED",0.01,1,"","",0,10,"INE0N7S01010",0,0,120.9,78.6,"","","",0,0,0,113,75.4,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","MOS"
"15058","AVATE","EQ","AVALON TECHNOLOGIES LIMITED",0.01,1,"","",0,10,"INE0LCL01028",732.1,348,732.1,348,"","","",0,0,0,598.4,399,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","AVALON"
"15060","SRIADH","BE","SRI ADHIKARI BROTHERS TELEVISI",0.01,1,"","",0,10,"INE416A01036",2.7,1.25,2290,1,"","","",0,0,0,1.7,1.6,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","SABTN"
"15061","KOTPSB","EQ","KOTAK NIFTY PSU BANK ETF",0.01,1,"","",0,10,"INF373I01023",541,334.06,635,105.5,"","","",0,0,0,600.2,400.13,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","KOTAKPSUBK"
"15066","JCTELE","BE","JCT ELECTRONICS LTD",0.01,1,"","",0,1,"INE264B01020",0.6,0.15,95,0.15,"","","",0,0,0,0.25,0.15,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","JCTEL"
"15067","BEMLAN","EQ","BEML LAND ASSETS LIMITED EQ",0.01,1,"","",0,10,"INE0N7W01012",299.9,136,299.9,136,"","","",0,0,0,194.15,129.45,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","BLAL"
"15068","RELENT","EQ","RELIGARE ENTERPRISES LTD",0.01,1,"","",0,10,"INE621H01010",280.6,135.6,575.4,16.9,"","","",0,0,0,277.05,184.75,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","RELIGARE"
