,SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,Unnamed: 13
2087,SHEMAROO,EQ,145.65,147.6,142.8,146.0,145.65,144.95,93423,13532691.45,24-NOV-2023,1294,INE363M01019,
2088,SHERA,SM,170.0,170.0,169.5,169.5,169.5,169.5,3000,509000.0,24-NOV-2023,3,INE0MM001019,
2089,SHIGAN,SM,100.0,100.0,97.15,99.0,99.0,99.95,7500,739725.0,24-NOV-2023,5,INE03KJ01013,
2090,SHILPAMED,EQ,379.65,381.25,367.0,368.5,368.9,378.25,305859,113872560.15,24-NOV-2023,12893,INE790G01031,
2091,SHIVALIK,EQ,660.0,686.0,653.0,673.9,685.0,656.75,14111,9406367.05,24-NOV-2023,719,INE788J01021,
2092,SHIVAMAUTO,BE,29.65,30.5,29.1,29.55,29.5,29.75,94136,2800082.2,24-NOV-2023,299,INE637H01024,
2093,SHIVAMILLS,EQ,86.85,86.85,84.1,84.6,84.2,84.85,4926,417443.05,24-NOV-2023,167,INE644Y01017,
2094,SHIVATEX,EQ,154.35,161.15,149.0,152.0,152.4,158.0,41285,6426394.45,24-NOV-2023,1461,INE705C01020,
2095,SHK,EQ,154.5,156.05,151.5,152.3,152.0,153.75,290919,44527906.9,24-NOV-2023,7725,INE500L01026,
2096,SHOPERSTOP,EQ,668.0,681.0,662.0,676.95,676.3,665.7,36253,24413512.45,24-NOV-2023,5005,INE498B01024,
2097,SHRADHA,EQ,49.1,56.5,48.7,53.8,54.25,48.85,1245238,67799087.9,24-NOV-2023,6621,INE715Y01023,
2098,SHREDIGCEM,EQ,87.2,88.35,86.5,87.25,86.5,87.15,161270,14101847.5,24-NOV-2023,1676,INE232A01011,
2099,SHREECEM,EQ,25922.2,26046.85,25600.0,25645.4,25600.0,25922.2,13597,350801712.7,24-NOV-2023,6021,INE070A01015,
2100,SHREEPUSHK,EQ,191.5,192.0,188.9,189.4,190.0,190.5,15345,2915172.05,24-NOV-2023,729,INE712K01011,
